name,link,description,price,image,features,main_category,sub_category
알페신 카페인 샴푸 C1 블랙 에디션 375ml,https://prod.danawa.com/info/?pcode=64761068&cate=18313515,,14000,//placehold.co/130,"['샴푸', '남성용', '실리콘프리']",샴푸,일반샴푸
웰라프로페셔널 SP 밸런스 스캘프 샴푸 1000ml,https://prod.danawa.com/info/?pcode=17607371&cate=18313515,,27810,//img.danawa.com/prod_img/500000/371/607/img/17607371_1.jpg?shrink=130:130&_v=20221006123359,"['샴푸', '대용량']",샴푸,일반샴푸
닥터포헤어 피토테라피 샴푸 500ml,https://prod.danawa.com/info/?pcode=76075415&cate=18313515,,38900,//img.danawa.com/prod_img/500000/415/075/img/76075415_1.jpg?shrink=130:130&_v=20250228114505,"['샴푸', '건성두피', '민감성두피', '약산성(pH4.5~6.5)', '설페이트프리', '실리콘프리', '파라벤프리', '저자극', '펌프형']",샴푸,일반샴푸
아베다 샴퓨어 너쳐링 샴푸 1000ml,https://prod.danawa.com/info/?pcode=6960352&cate=18313515,,66560,//img.danawa.com/prod_img/500000/352/960/img/6960352_1.jpg?shrink=130:130&_v=20190103104152,"['샴푸', '대용량', '캡형']",샴푸,일반샴푸
쿤달 네이처 샴푸 베이비파우더 1058ml,https://prod.danawa.com/info/?pcode=12066500&cate=18313515,,13500,//img.danawa.com/prod_img/500000/500/066/img/12066500_1.jpg?shrink=130:130&_v=20221201174823,"['샴푸', '약산성(pH4.5~6.5)', '파라벤프리', '대용량', '펌프형']",샴푸,일반샴푸
로마 데일리 샴푸 1L,https://prod.danawa.com/info/?pcode=8027545&cate=18313515,,36870,//img.danawa.com/prod_img/500000/545/027/img/8027545_1.jpg?shrink=130:130&_v=20230426162344,"['샴푸', '설페이트프리', '파라벤프리', '대용량', '캡형']",샴푸,일반샴푸
아베다 스칼프 솔루션 밸런싱 샴푸 200ml,https://prod.danawa.com/info/?pcode=18665762&cate=18313515,,34360,//img.danawa.com/prod_img/500000/762/665/img/18665762_1.jpg?shrink=130:130&_v=20230104133510,['샴푸'],샴푸,일반샴푸
볼빅 세보 샴푸 1000g,https://prod.danawa.com/info/?pcode=10514775&cate=18313515,,90000,//img.danawa.com/prod_img/500000/775/514/img/10514775_1.jpg?shrink=130:130&_v=20230405123832,"['샴푸', '비듬케어', '대용량', '펌프형']",샴푸,일반샴푸
케라시스 스위트 앤 플라워리 퍼퓸 샴푸 1000ml,https://prod.danawa.com/info/?pcode=7763143&cate=18313515,,3540,//img.danawa.com/prod_img/500000/143/763/img/7763143_1.jpg?shrink=130:130&_v=20230201104930,"['샴푸', '대용량', '펌프형']",샴푸,일반샴푸
미쟝센 검은콩 단백질 샴푸 1000ml,https://prod.danawa.com/info/?pcode=67758809&cate=18313515,,7450,//img.danawa.com/prod_img/500000/809/758/img/67758809_1.jpg?shrink=130:130&_v=20250309114644,"['샴푸', '손상모발', '영양공급']",샴푸,일반샴푸
